inchi	names	iupac_name	smiles	cid	record_ids	logBB	logBB_group	BBB+/BBB-	BBB+/BBB-_group	split
InChI=1S/Ar	Argon	argon	[Ar]	23968.0	R3_abraham_2006:1|R12_garg_2006:24|R21_muehlbacher_2011:230|R40_vilar_2010:342|R44_bujak_2015:13|R49_norinder_2002:71	0.03	B	BBB+	A	training
InChI=1S/C10H10BrNO2/c1-10(2)7-5-6(11)3-4-8(7)12-9(13)14-10/h3-5H,1-2H3,(H,12,13)	Brofoxine	6-bromo-4,4-dimethyl-1H-3,1-benzoxazin-2-one	CC1(C)OC(=O)Nc2ccc(Br)cc21	30630.0	R6_adenot_2004:481			BBB+	C	training
InChI=1S/C10H10Cl2N2O/c11-8-2-1-7(5-9(8)12)15-6-10-13-3-4-14-10/h1-2,5H,3-4,6H2,(H,13,14)	Fenmetozole	2-[(3,4-dichlorophenoxy)methyl]-4,5-dihydro-1H-imidazole	Clc1ccc(OCC2=NCCN2)cc1Cl	32049.0	R6_adenot_2004:542			BBB+	C	training
InChI=1S/C10H10ClNO2/c11-6-5-9-12-10(13)7-3-1-2-4-8(7)14-9/h1-4,9H,5-6H2,(H,12,13)	Chlorthenoxazine	2-(2-chloroethyl)-2,3-dihydro-1,3-benzoxazin-4-one	O=C1NC(CCCl)Oc2ccccc21	8602.0	R6_adenot_2004:1547			BBB+	C	training
InChI=1S/C10H10FN3S/c1-13-9(12-14(2)10(13)15)7-4-3-5-8(11)6-7/h3-6H,1-2H3	Suritozole	5-(3-fluorophenyl)-2,4-dimethyl-1,2,4-triazole-3-thione	Cn1nc(-c2cccc(F)c2)n(C)c1=S	25431.0	R6_adenot_2004:573			BBB+	C	training
InChI=1S/C10H10N2O/c1-8-7-10(13)12(11-8)9-5-3-2-4-6-9/h2-6H,7H2,1H3	Edaravone	5-methyl-2-phenyl-4H-pyrazol-3-one	CC1=NN(c2ccccc2)C(=O)C1	4021.0	R6_adenot_2004:1264			BBB+	C	training
InChI=1S/C10H10N2O3/c11-9(13)5-12-7-3-1-2-4-8(7)15-6-10(12)14/h1-4H,5-6H2,(H2,11,13)	Paraxazone	2-(3-oxo-1,4-benzoxazin-4-yl)acetamide	NC(=O)CN1C(=O)COc2ccccc21	3047812.0	R6_adenot_2004:593			BBB+	C	test
InChI=1S/C10H10N2O3/c11-9(13)6-12-5-7-3-1-2-4-8(7)15-10(12)14/h1-4H,5-6H2,(H2,11,13)	Caroxazone	2-(2-oxo-4H-1,3-benzoxazin-3-yl)acetamide	NC(=O)CN1Cc2ccccc2OC1=O	29083.0	R6_adenot_2004:503			BBB+	C	training
InChI=1S/C10H10N4O2S/c11-9(12)14-10-13-6(4-17-10)5-1-2-7(15)8(16)3-5/h1-4,15-16H,(H4,11,12,13,14)	Guanidinothiazol Analogue 17 Ac1Lbibi -- Pubmed|Benzene-1,2-Diol, 4-(2-Guanidinothiazol-4-Yl)-	2-[4-(3,4-dihydroxyphenyl)-1,3-thiazol-2-yl]guanidine	NC(N)=Nc1nc(-c2ccc(O)c(O)c2)cs1	536278.0	R47_radchenko_2020:375	-1.54	A	BBB-	A	training
InChI=1S/C10H10N4S/c11-9(12)14-10-13-8(6-15-10)7-4-2-1-3-5-7/h1-6H,(H4,11,12,13,14)	Skb19|Bbcpd15|2507-81-5|N-(4-Phenylthiazol-2-Yl)-Guanidine|B-052|16|10|1-(4-Phenyl-1,3-Thiazol-2-Yl)Guanidine	2-(4-phenyl-1,3-thiazol-2-yl)guanidine	NC(N)=Nc1nc(-c2ccccc2)cs1	3763607.0	R3_abraham_2006:259|R3_abraham_2006:309|R4_mente_2005:117|R12_garg_2006:31|R21_muehlbacher_2011:317|R25_brito_sanchez_2015:10|R26_chico_2009:51|R28_li_2005:154|R40_vilar_2010:245|R41_toropov_2017:231|R41_toropov_2017:276|R46_mendoza_valencia_2017:10|R47_radchenko_2020:214|R48_hou_2003:63|R49_norinder_2002:16|R52_liu_2001:16			BBB+	C	training
InChI=1S/C10H10N6O2/c1-15-8(13-6-9(15)16(17)18)3-2-7-4-5-12-10(11)14-7/h2-6H,1H3,(H2,11,12,14)/b3-2+	Azanidazole	4-[(E)-2-(1-methyl-5-nitroimidazol-2-yl)ethenyl]pyrimidin-2-amine	Cn1c([N+](=O)[O-])cnc1/C=C/c1ccnc(N)n1	6436171.0	R14_ghose_2012:368			BBB-	C	training
InChI=1S/C10H11BrN2O3/c1-3-4-10(5-6(2)11)7(14)12-9(16)13-8(10)15/h3H,1-2,4-5H2,(H2,12,13,14,15,16)	Brallobarbital	5-(2-bromoprop-2-enyl)-5-prop-2-enyl-1,3-diazinane-2,4,6-trione	C=CCC1(CC(=C)Br)C(=O)NC(=O)NC1=O	68416.0	R6_adenot_2004:1641			BBB+	C	test
