chembl_id,pred_sig_0.1,pred_sig_0.2,pred_sig_0.3,pred_sig_0.4,pred_sig_0.5,pred_sig_0.6,pred_sig_0.7
CHEMBL2,Undefined,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL4,1.0,1.0,1.0,Undefined,Undefined,Undefined,Undefined
CHEMBL5,Undefined,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL6246,0.0,0.0,0.0,0.0,0.0,0.0,Undefined
CHEMBL204021,0.0,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL403,0.0,0.0,0.0,0.0,0.0,Undefined,Undefined
CHEMBL6259,0.0,0.0,0.0,0.0,0.0,Undefined,Undefined
CHEMBL404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL6273,Undefined,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL6209,0.0,0.0,0.0,0.0,0.0,Undefined,Undefined
CHEMBL6231,0.0,0.0,0.0,0.0,0.0,Undefined,Undefined
CHEMBL8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL269538,1.0,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL6615,0.0,0.0,0.0,Undefined,Undefined,Undefined,Undefined
CHEMBL6318,0.0,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL405,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL6622,0.0,0.0,0.0,0.0,0.0,0.0,Undefined
CHEMBL6437,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL6731,1.0,1.0,1.0,Undefined,Undefined,Undefined,Undefined
CHEMBL263881,1.0,1.0,1.0,1.0,1.0,1.0,Undefined
CHEMBL11,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL406,0.0,0.0,0.0,0.0,0.0,0.0,Undefined
CHEMBL407,1.0,1.0,1.0,1.0,1.0,1.0,Undefined
CHEMBL409,0.0,0.0,0.0,0.0,0.0,0.0,Undefined
CHEMBL12,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL266979,Undefined,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL13,1.0,1.0,1.0,Undefined,Undefined,Undefined,Undefined
CHEMBL6378,0.0,0.0,0.0,0.0,0.0,Undefined,Undefined
CHEMBL266195,1.0,1.0,1.0,Undefined,Undefined,Undefined,Undefined
CHEMBL538393,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL7075,Undefined,0.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL7301,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
CHEMBL411,0.0,0.0,0.0,0.0,0.0,0.0,Undefined
CHEMBL267936,0.0,0.0,0.0,0.0,Undefined,Undefined,Undefined
CHEMBL14,0.0,0.0,0.0,0.0,0.0,0.0,Undefined
CHEMBL16,1.0,1.0,1.0,1.0,1.0,Undefined,Undefined
CHEMBL413,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL269732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEMBL414,Undefined,1.0,Undefined,Undefined,Undefined,Undefined,Undefined
CHEMBL415,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CHEMBL7010,1.0,1.0,1.0,Undefined,Undefined,Undefined,Undefined
CHEMBL7303,1.0,1.0,1.0,1.0,1.0,Undefined,Undefined
CHEMBL416,0.0,0.0,0.0,0.0,0.0,0.0,Undefined
CHEMBL17,0.0,0.0,0.0,0.0,0.0,0.0,Undefined
CHEMBL6607,1.0,1.0,1.0,Undefined,Undefined,Undefined,Undefined
CHEMBL18,0.0,0.0,0.0,Undefined,Undefined,Undefined,Undefined
