compound_name	smiles	CID	logBB	BBB+/BBB-
1,2-dichloroethane	C(CCl)Cl	11	-0.14	
acetone	CC(=O)C	180	-0.15	
benzene	C1=CC=CC=C1	241	0.35	
1-butanol	CCCCO	263	-0.02	
methane	C	297	0.03	
salicylic acid	C1=CC=C(C(=C1)C(=O)O)O	338	-1.11	
octane	CCCCCCCC	356	0.69	
cotinine	CN1C(CCC1=O)C2=CN=CC=C2	408	-0.22	
nornicotine	C1CC(NC1)C2=CN=CC=C2	412	0.32	
bupropion	CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C	444	1.4	
ethanol	CCO	702	-0.16	
methanol	CO	887	0.02	
nicotine	CN1CCCC1C2=CN=CC=C2	942	0.38	
nitrogen	N#N	947	0.03	
nitrous oxide	N#[N+][O-]	948	0.03	
water	O	962	-0.04	
 1-propanol	CCCO	1031	-0.15	
 toluene	CC1=CC=CC=C1	1140	0.36	
 urea	C(=O)(N)N	1176	-0.14	
 pervertin	CC(CC1=CC=CC=C1)NC	1206	0.95	
 PK 11195	CCC(C)N(C)C(=O)C1=CC2=CC=CC=C2C(=N1)C3=CC=CC=C3Cl	1345	0.48	
 phenytoin	C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3	1775	-0.05	
 tacrine	C1CCC2=NC3=CC=CC=C3C(=C2C1)N	1935	-0.12	
 acebutolol	CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C	1978	-0.15	
 acetaminophen	CC(=O)NC1=CC=C(C=C1)O	1983	-0.37	
 acyclovir	C1=NC2=C(N1COCCO)NC(=NC2=O)N	2022	-0.84	
 salbutamol	CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O	2083	-1.14	
 alprazolam	CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4	2118	0.02	
 alprenolol	CC(C)NCC(COC1=CC=CC=C1CC=C)O	2119	-0.23	
 theophylline	CN1C2=C(C(=O)N(C1=O)C)NC=N2	2153	-0.32	
 amitriptyline	CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31	2160	0.9	
 amobarbital	CCC1(C(=O)NC(=O)NC1=O)CCC(C)C	2164	0.11	
 antipyrine	CC1=CC(=O)N(N1C)C2=CC=CC=C2	2206	-0.11	
 aspirin	CC(=O)OC1=CC=CC=C1C(=O)O	2244	-0.61	
 atenolol	CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O	2249	-1.14	
 barbital	CCC1(C(=O)NC(=O)NC1=O)CC	2294	-0.14	
 benzocaine	CCOC(=O)C1=CC=C(C=C1)N	2337	0.27	
 betahistine	CNCCC1=CC=CC=N1	2366	-0.34	
 betaxolol	CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O	2369	0.39	
 biperiden	C1CCN(CC1)CCC(C2CC3CC2C=C3)(C4=CC=CC=C4)O	2381	0.85	
