inchi_parent,record_id,smiles_resolved,cid,iupac_name,names_resolved,logBB_resolved,logBB_resolution_comment,BBB+/BBB-_resolved,BBB+/BBB-_resolution_comment
InChI=1S/Ar,R3_abraham_2006:1|R12_garg_2006:24|R21_muehlbacher_2011:230|R40_vilar_2010:342|R44_bujak_2015:13|R49_norinder_2002:71,[Ar],23968.0,argon,Argon,0.03,LogBB group B,BBB+,BBB+/BBB- group A
"InChI=1S/C10H10BrNO2/c1-10(2)7-5-6(11)3-4-8(7)12-9(13)14-10/h3-5H,1-2H3,(H,12,13)",R6_adenot_2004:481,CC1(C)OC(=O)Nc2ccc(Br)cc21,30630.0,"6-bromo-4,4-dimethyl-1H-3,1-benzoxazin-2-one",Brofoxine,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C10H10Cl2N2O/c11-8-2-1-7(5-9(8)12)15-6-10-13-3-4-14-10/h1-2,5H,3-4,6H2,(H,13,14)",R6_adenot_2004:542,Clc1ccc(OCC2=NCCN2)cc1Cl,32049.0,"2-[(3,4-dichlorophenoxy)methyl]-4,5-dihydro-1H-imidazole",Fenmetozole,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C10H10ClNO2/c11-6-5-9-12-10(13)7-3-1-2-4-8(7)14-9/h1-4,9H,5-6H2,(H,12,13)",R6_adenot_2004:1547,O=C1NC(CCCl)Oc2ccccc21,8602.0,"2-(2-chloroethyl)-2,3-dihydro-1,3-benzoxazin-4-one",Chlorthenoxazine,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C10H10FN3S/c1-13-9(12-14(2)10(13)15)7-4-3-5-8(11)6-7/h3-6H,1-2H3",R6_adenot_2004:573,Cn1nc(-c2cccc(F)c2)n(C)c1=S,25431.0,"5-(3-fluorophenyl)-2,4-dimethyl-1,2,4-triazole-3-thione",Suritozole,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C10H10N2O/c1-8-7-10(13)12(11-8)9-5-3-2-4-6-9/h2-6H,7H2,1H3",R6_adenot_2004:1264,CC1=NN(c2ccccc2)C(=O)C1,4021.0,5-methyl-2-phenyl-4H-pyrazol-3-one,Edaravone,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C10H10N2O3/c11-9(13)5-12-7-3-1-2-4-8(7)15-6-10(12)14/h1-4H,5-6H2,(H2,11,13)",R6_adenot_2004:593,NC(=O)CN1C(=O)COc2ccccc21,3047812.0,"2-(3-oxo-1,4-benzoxazin-4-yl)acetamide",Paraxazone,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C10H10N2O3/c11-9(13)6-12-5-7-3-1-2-4-8(7)15-10(12)14/h1-4H,5-6H2,(H2,11,13)",R6_adenot_2004:503,NC(=O)CN1Cc2ccccc2OC1=O,29083.0,"2-(2-oxo-4H-1,3-benzoxazin-3-yl)acetamide",Caroxazone,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C10H10N4O2S/c11-8-2-4-9(5-3-8)17(15,16)14-10-12-6-1-7-13-10/h1-7H,11H2,(H,12,13,14)",R14_ghose_2012:858|R23_gupta_2019:930|R28_li_2005:289,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,5215.0,4-amino-N-pyrimidin-2-ylbenzenesulfonamide,Sulfadiazine,,No LogBB values,BBB-,BBB+/BBB- group D
"InChI=1S/C10H10N4O2S/c11-9(12)14-10-13-6(4-17-10)5-1-2-7(15)8(16)3-5/h1-4,15-16H,(H4,11,12,13,14)",R47_radchenko_2020:375,NC(N)=Nc1nc(-c2ccc(O)c(O)c2)cs1,536278.0,"2-[4-(3,4-dihydroxyphenyl)-1,3-thiazol-2-yl]guanidine","Guanidinothiazol Analogue 17 Ac1Lbibi -- Pubmed|Benzene-1,2-Diol, 4-(2-Guanidinothiazol-4-Yl)-",-1.54,LogBB group A,BBB-,BBB+/BBB- group A
"InChI=1S/C10H10N4S/c11-9(12)14-10-13-8(6-15-10)7-4-2-1-3-5-7/h1-6H,(H4,11,12,13,14)",R3_abraham_2006:259|R3_abraham_2006:309|R4_mente_2005:117|R12_garg_2006:31|R21_muehlbacher_2011:317|R25_brito_sanchez_2015:10|R26_chico_2009:51|R28_li_2005:154|R40_vilar_2010:245|R41_toropov_2017:231|R41_toropov_2017:276|R46_mendoza_valencia_2017:10|R47_radchenko_2020:214|R48_hou_2003:63|R49_norinder_2002:16|R52_liu_2001:16,NC(N)=Nc1nc(-c2ccccc2)cs1,3763607.0,"2-(4-phenyl-1,3-thiazol-2-yl)guanidine","Skb19|Bbcpd15|2507-81-5|N-(4-Phenylthiazol-2-Yl)-Guanidine|B-052|16|10|1-(4-Phenyl-1,3-Thiazol-2-Yl)Guanidine",,LogBB values range above threshold (1),BBB+,BBB+/BBB- group C
"InChI=1S/C10H10N6O2/c1-15-8(13-6-9(15)16(17)18)3-2-7-4-5-12-10(11)14-7/h2-6H,1H3,(H2,11,12,14)/b3-2+",R14_ghose_2012:368,Cn1c([N+](=O)[O-])cnc1/C=C/c1ccnc(N)n1,6436171.0,4-[(E)-2-(1-methyl-5-nitroimidazol-2-yl)ethenyl]pyrimidin-2-amine,Azanidazole,,No LogBB values,BBB-,BBB+/BBB- group C
"InChI=1S/C10H11BrN2O3/c1-3-4-10(5-6(2)11)7(14)12-9(16)13-8(10)15/h3H,1-2,4-5H2,(H2,12,13,14,15,16)",R6_adenot_2004:1641,C=CCC1(CC(=C)Br)C(=O)NC(=O)NC1=O,68416.0,"5-(2-bromoprop-2-enyl)-5-prop-2-enyl-1,3-diazinane-2,4,6-trione",Brallobarbital,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C10H11ClF3N3/c11-9-7(10(12,13)14)1-2-8(16-9)17-5-3-15-4-6-17/h1-2,15H,3-6H2",R4_mente_2005:161|R21_muehlbacher_2011:327|R25_brito_sanchez_2015:334|R26_chico_2009:70|R28_li_2005:33|R40_vilar_2010:170|R47_radchenko_2020:302|R49_norinder_2002:143,FC(F)(F)c1ccc(N2CCNCC2)nc1Cl,9796408.0,1-[6-chloro-5-(trifluoromethyl)pyridin-2-yl]piperazine,"210821-63-9|Chebi: 568657|Org12962|B-103, Org12962|Org-12962|Org12692|1-(6-Chloro-5-(Trifluoromethyl)Pyridin-2-Yl)Piperazine",1.64,LogBB group B,BBB+,BBB+/BBB- group A
"InChI=1S/C10H11ClFN5O3/c11-10-15-7(13)5-8(16-10)17(2-14-5)9-4(12)6(19)3(1-18)20-9/h2-4,6,9,18-19H,1H2,(H2,13,15,16)/t3-,4+,6-,9-/m1/s1",R23_gupta_2019:471,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1F,119182.0,"(2R,3R,4S,5R)-5-(6-amino-2-chloropurin-9-yl)-4-fluoro-2-(hydroxymethyl)oxolan-3-ol",Clofarabine,,No LogBB values,BBB-,BBB+/BBB- group C
"InChI=1S/C10H11ClO3/c1-10(2,9(12)13)14-8-5-3-7(11)4-6-8/h3-6H,1-2H3,(H,12,13)",R7_andres_2006:37|R29_subramanian_2003:38,CC(C)(Oc1ccc(Cl)cc1)C(=O)O,2797.0,2-(4-chlorophenoxy)-2-methylpropanoic acid,Clofibric Acid,,No LogBB values,BBB-,BBB+/BBB- group C
"InChI=1S/C10H11ClO3/c1-6-5-8(11)3-4-9(6)14-7(2)10(12)13/h3-5,7H,1-2H3,(H,12,13)",R7_andres_2006:99,Cc1cc(Cl)ccc1OC(C)C(=O)O,7153.0,2-(4-chloro-2-methylphenoxy)propanoic acid,Mecoprop,,No LogBB values,BBB+,BBB+/BBB- group C
"InChI=1S/C10H11F3N2O5/c11-10(12,13)4-2-15(9(19)14-8(4)18)7-1-5(17)6(3-16)20-7/h2,5-7,16-17H,1,3H2,(H,14,18,19)/t5-,6+,7+/m0/s1",R23_gupta_2019:1001,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1C(F)(F)F,6256.0,"1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-5-(trifluoromethyl)pyrimidine-2,4-dione",Trifluridine,,No LogBB values,BBB-,BBB+/BBB- group C
"InChI=1S/C10H11I2NO3/c1-2-3-16-9(14)6-13-4-7(11)10(15)8(12)5-13/h4-5H,2-3,6H2,1H3",R23_gupta_2019:1081,CCCOC(=O)Cn1cc(I)c(=O)c(I)c1,4949.0,"propyl 2-(3,5-diiodo-4-oxopyridin-1-yl)acetate",Propyliodone,,No LogBB values,BBB-,BBB+/BBB- group C
"InChI=1S/C10H11N3O3S/c1-7-6-10(12-16-7)13-17(14,15)9-4-2-8(11)3-5-9/h2-6H,11H2,1H3,(H,12,13)",R14_ghose_2012:861|R28_li_2005:291,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,5329.0,"4-amino-N-(5-methyl-1,2-oxazol-3-yl)benzenesulfonamide",Sulfamethoxazole,,No LogBB values,,No BBB class assigned
"InChI=1S/C10H11N5S/c11-7-3-1-2-6(4-7)8-5-16-10(14-8)15-9(12)13/h1-5H,11H2,(H4,12,13,14,15)",R3_abraham_2006:261|R3_abraham_2006:310|R4_mente_2005:144|R12_garg_2006:41|R21_muehlbacher_2011:353|R25_brito_sanchez_2015:11|R26_chico_2009:52|R28_li_2005:155|R40_vilar_2010:247|R41_toropov_2017:233|R46_mendoza_valencia_2017:11|R47_radchenko_2020:216|R48_hou_2003:45|R49_norinder_2002:17|R49_norinder_2002:169|R52_liu_2001:17,NC(N)=Nc1nc(-c2cccc(N)c2)cs1,14022509.0,"2-[4-(3-aminophenyl)-1,3-thiazol-2-yl]guanidine",Skb20|Bbcpd57|72801-60-6|Chebi: 338063|B-053|17|11|1-(4-(3-Aminophenyl)Thiazol-2-Yl)Guanidine,-1.1513333333333333,LogBB group B,BBB-,BBB+/BBB- group A
"InChI=1S/C10H11NO4S2/c1-6(9(14)11-5-8(12)13)17-10(15)7-3-2-4-16-7/h2-4,6H,5H2,1H3,(H,11,14)(H,12,13)",R23_gupta_2019:924,CC(SC(=O)c1cccs1)C(=O)NCC(=O)O,54120.0,2-[2-(thiophene-2-carbonylsulfanyl)propanoylamino]acetic acid,Stepronin,,No LogBB values,BBB-,BBB+/BBB- group C
"InChI=1S/C10H12ClN3/c1-7-2-3-9(8(11)6-7)14-10-12-4-5-13-10/h2-3,6H,4-5H2,1H3,(H2,12,13,14)",R4_mente_2005:5|R25_brito_sanchez_2015:561|R40_vilar_2010:285|R47_radchenko_2020:483,Cc1ccc(NC2=NCCN2)c(Cl)c1,72138.0,"N-(2-chloro-4-methylphenyl)-4,5-dihydro-1H-imidazol-2-amine",4201-22-3|Tz-13|Tolonidine,-0.65,LogBB group B,BBB+,BBB+/BBB- group A
"InChI=1S/C10H12ClN3/c1-7-6-8(11)2-3-9(7)14-10-12-4-5-13-10/h2-3,6H,4-5H2,1H3,(H2,12,13,14)",R4_mente_2005:4|R25_brito_sanchez_2015:560|R40_vilar_2010:284|R47_radchenko_2020:482,Cc1cc(Cl)ccc1NC1=NCCN1,77870.0,"N-(4-chloro-2-methylphenyl)-4,5-dihydro-1H-imidazol-2-amine",4201-26-7|Tz-12|2-(2-Methyl-4-Chlorophenylamino)-2-Imidazoline,-0.87,LogBB group B,BBB+,BBB+/BBB- group A
"InChI=1S/C10H12ClN3O3S/c1-2-9-13-7-4-6(11)8(18(12,16)17)3-5(7)10(15)14-9/h3-4,9,13H,2H2,1H3,(H,14,15)(H2,12,16,17)",R14_ghose_2012:812|R23_gupta_2019:872,CCC1NC(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,6307.0,"7-chloro-2-ethyl-4-oxo-2,3-dihydro-1H-quinazoline-6-sulfonamide",Quinethazone,,No LogBB values,BBB-,BBB+/BBB- group C
