compound_name	smiles	CID	logBB	BBB+/BBB-	comments
ACEBUTOLOL	CCCC(=O)Nc1ccc(c(c1)C(C)=O)OCC(O)CNC(C)C	1978.0		BBB-	
DACTINOMYCIN	CC(C)[C@H]1NC(=O)[C@@H](NC(=O)c2ccc(c3c2N=C2C(=C(C)C(=O)C(=C2C(=O)N[C@H]2[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]4CCCN4C(=O)[C@H](NC2=O)C(C)C)N)O3)C)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]2CCCN2C1=O	457193.0		BBB-	
ALDOSTERONE	C[C@@]12CCC(=O)C=C2CC[C@H]2C3CC[C@H](C(=O)CO)C3(C[C@H](O)C21)C=O			BBB-	
AMILORIDE	N\C(=N)\NC(=O)c1nc(c(nc1N)N)Cl	16231.0		BBB-	
AMIODARONE	CCCCc1oc2ccccc2c1C(=O)c1cc(c(c(c1)[I])OCCN(CC)CC)[I]	2157.0		BBB-	
ASTEMIZOLE	COc1ccc(cc1)CCN1CCC(CC1)Nc1nc2ccccc2n1Cc1ccc(cc1)F	2247.0		BBB-	
ATORVASTATIN (FREE ACID)	CC(C)c1n(c(c(c1C(=O)Nc1ccccc1)c1ccccc1)c1ccc(cc1)F)CC[C@@H](O)C[C@@H](O)CC(O)=O	60823.0		BBB-	
BEPRIDIL	CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1	2351.0		BBB-	
CELIPROLOL	CCN(CC)C(=O)Nc1ccc(c(c1)C(C)=O)OCC(O)CNC(C)(C)C	2663.0		BBB-	
CHLOROQUINE	CCN(CC)CCCC(C)Nc1ccnc2cc(ccc12)Cl	2719.0		BBB-	
CICLOSPORIN	CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C	5284373.0		BBB-	
CIMETIDINE	CN\C(\NCCSCc1nc[nH]c1C)=N/C#N	2756.0		BBB-	
CLOFAZIMINE	CC(C)\N=C1/C=C2N(c3ccc(cc3)Cl)c3ccccc3N=C2C=C/1Nc1ccc(cc1)Cl	2794.0		BBB-	
COLCHICINE	COC1=CC=C2C(=CC1=O)[C@H](CCc1cc(c(c(c21)OC)OC)OC)NC(C)=O	6167.0		BBB-	
DAUNORUBICIN	COc1cccc2c1C(=O)c1c(c3c(c(c1C2=O)O)C[C@](O)(C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1)C(C)=O)O	30323.0		BBB-	
DEXAMETHASONE	C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO	5743.0		BBB-	
DIGOXIN	C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@@H](O[C@@H]1C)O[C@H]1[C@@H](O)C[C@@H](O[C@@H]1C)O[C@H]1CC[C@@]2(C)C(CC[C@@H]3[C@@H]2C[C@@H](O)[C@]2(C)[C@H](CC[C@]32O)C2=CC(=O)OC2)C1			BBB-	
DILTIAZEM	COc1ccc(cc1)[C@@H]1Sc2ccccc2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O	39186.0		BBB-	
DIOSMIN	COc1ccc(cc1O)C1=CC(=O)c2c(cc(cc2O1)O[C@@H]1O[C@H](CO[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O)O	5281613.0		BBB-	
DIPYRIDAMOLE	OCCN(CCO)c1nc(c2nc(nc(c2n1)N1CCCCC1)N(CCO)CCO)N1CCCCC1	3108.0		BBB-	
DOCETAXEL	CC(=O)O[C@]12CO[C@@H]2C[C@H](O)[C@]2(C)C1[C@H](OC(=O)c1ccccc1)[C@]1(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(=C([C@@H](O)C2=O)C1(C)C)C	9877265.0		BBB-	
DOMPERIDONE	Clc1ccc2c(c1)NC(=O)N2C1CCN(CCCN2C(=O)Nc3ccccc23)CC1	3151.0		BBB-	
DOXORUBICIN	COc1cccc2c1C(=O)c1c(c3c(c(c1C2=O)O)C[C@](O)(C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1)C(=O)CO)O	31703.0		BBB-	
EMETINE	CC[C@H]1CN2CCc3cc(c(cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(c(cc12)OC)OC)OC)OC	10219.0		BBB-	
ENOXACIN	CCN1C=C(C(O)=O)C(=O)c2cc(c(nc12)N1CCNCC1)F	3229.0		BBB-	
ERYTHROMYCIN	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@H]([C@@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O	8233.0		BBB-	
ESTRADIOL	C[C@@]12CC[C@H]3[C@@H](CCc4cc(ccc34)O)[C@@H]2CC[C@@H]1O	5757.0		BBB-	
ETOPOSIDE	COc1cc(cc(c1O)OC)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@H](C)O[C@H]3[C@H](O)[C@H]2O)c2cc3c(cc12)OCO3	10077076.0		BBB-	
FELODIPINE	CCOC(=O)C1=C(C)NC(=C(C1c1cccc(c1Cl)Cl)C(=O)OC)C	3333.0		BBB-	
FEXOFENADINE	CC(C)(C(O)=O)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1	3348.0		BBB-	
FLEROXACIN	CN1CCN(CC1)c1c(cc2c(c1F)N(CCF)C=C(C(O)=O)C2=O)F	3357.0		BBB-	
GLIBENCLAMIDE	COc1ccc(cc1C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1)Cl	3488.0		BBB-	
GREPAFLOXACIN	CC1CN(CCN1)c1cc2c(c(c1F)C)C(=O)C(=CN2C1CC1)C(O)=O	72474.0		BBB-	
HYDROCORTISONE	C[C@@]12CCC(=O)C=C2CC[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]21	5754.0		BBB-	
HYMECROMONE	CC1=CC(=O)Oc2cc(ccc12)O	5280567.0		BBB-	
IDARUBICIN	C[C@H]1O[C@@H](C[C@@H](N)[C@H]1O)O[C@H]1C[C@@](O)(Cc2c(c3c(c(c21)O)C(=O)c1ccccc1C3=O)O)C(C)=O			BBB-	
INDINAVIR	CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H]1[C@H](O)Cc2ccccc12)Cc1cccnc1	5362440.0		BBB-	
ITRACONAZOLE	CCC(C)N1N=CN(C1=O)c1ccc(cc1)N1CCN(CC1)c1ccc(cc1)OC[C@H]1CO[C@@](Cn2cncn2)(O1)c1ccc(cc1Cl)Cl	55283.0		BBB-	
IVERMECTIN-II	CO[C@H]1C[C@@H](O[C@@H](C)[C@@H]1O)O[C@H]1[C@H](C)O[C@H](C[C@@H]1OC)O[C@H]1[C@@H](C)C=CC=C2CO[C@@H]3[C@H](O)C(=C[C@@H](C(=O)O[C@H]4C[C@@H](CC=C1C)O[C@@]1(CC[C@H](C)[C@H](O1)C(C)C)C4)[C@@]32O)C			BBB-	
KETOCONAZOLE	CC(=O)N1CCN(CC1)c1ccc(cc1)OCC1CO[C@@](Cn2ccnc2)(O1)c1ccc(cc1Cl)Cl	5702077.0		BBB-	
LEVODOPA	N[C@@H](Cc1ccc(c(c1)O)O)C(O)=O	6047.0		BBB-	
LEVOFLOXACIN	C[C@H]1COc2c(c(cc3c2N1C=C(C(O)=O)C3=O)F)N1CCN(C)CC1	149096.0		BBB-	
LIDOCAINE	CCN(CC)CC(=O)Nc1c(cccc1C)C	3676.0		BBB-	
LOSARTAN	CCCCc1nc(c(n1Cc1ccc(cc1)c1ccccc1c1[nH]nnn1)CO)Cl	3961.0		BBB-	
LOVASTATIN	CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)C12	9865943.0		BBB-	
METHOTREXATE	CN(Cc1cnc2nc(nc(c2n1)N)N)c1ccc(cc1)C(=O)N[C@@H](CCC(O)=O)C(O)=O	126941.0		BBB-	
METHYLCHROMONE	CC1=COc2ccccc2C1=O	66569.0		BBB-	
MIBEFRADIL	COCC(=O)O[C@]1(CCN(C)CCCc2[nH]c3ccccc3n2)CCc2cc(ccc2[C@@H]1C(C)C)F	60663.0		BBB-	
MITOMYCIN	CO[C@@]12[C@@H](COC(N)=O)C3=C(N2C[C@H]2N[C@H]21)C(=O)C(=C(N)C3=O)C	231224.0		BBB-	
NADOLOL	CC(C)(C)NCC(O)COc1cccc2c1C[C@H](O)[C@H](O)C2	39147.0		BBB-	
NELFINAVIR	Cc1c(cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C)O	64143.0		BBB-	
NICARDIPINE	COC(=O)C1=C(C)NC(=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OCCN(C)Cc1ccccc1)C	4474.0		BBB-	
NIFEDIPINE	COC(=O)C1=C(C)NC(=C(C1c1ccccc1[N+]([O-])=O)C(=O)OC)C	4485.0		BBB-	
NITRENDIPINE	CCOC(=O)C1=C(C)NC(=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC)C	4507.0		BBB-	
NORFLOXACIN	CCN1C=C(C(O)=O)C(=O)c2cc(c(cc12)N1CCNCC1)F	4539.0		BBB-	
ONDANSETRON	Cn1c2c(c3ccccc13)C(=O)C(CC2)Cn1ccnc1C	4595.0		BBB-	
PACLITAXEL	CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(C)=O)C2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c3ccccc3)c3ccccc3)C(=C1C2(C)C)C	441276.0		BBB-	
PRAVASTATIN	CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)[C@@H]12	54687.0		BBB-	
PROPAFENONE	CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1	4932.0		BBB-	
PROPRANOLOL	CC(C)NCC(O)COc1cccc2ccccc12	4946.0		BBB-	
QUINIDINE	COc1ccc2nccc(c2c1)[C@H](O)[C@H]1C[C@@H]2CCN1C[C@@H]2C=C	441074.0		BBB-	
QUININE	COc1ccc2nccc(c2c1)[C@@H](O)[C@@H]1C[C@@H]2CCN1C[C@@H]2C=C	3034034.0		BBB-	
RIFAMPICIN	CO[C@H]1C=CO[C@@]2(C)Oc3c(c(c4c(c(c(c(c4c3C2=O)O)/C=N/N2CCN(C)CC2)NC(=O)C(=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C)O)O)C			BBB-	
RITONAVIR	CC(C)[C@H](NC(=O)N(C)Cc1csc(n1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1scnc1)Cc1ccccc1	392622.0		BBB-	
SAQUINAVIR	CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1	441243.0		BBB-	
TACROLIMUS	CO[C@@H]1C[C@@H](CC[C@H]1O)\C=C(/C)\[C@H]1OC(=O)[C@@H]2CCCCN2C(=O)C(=O)[C@]2(O)O[C@H]([C@H](C[C@@H](C)CC(=C[C@@H](CC=C)C(=O)C[C@H](O)[C@H]1C)C)OC)[C@H](C[C@H]2C)OC	23581796.0		BBB-	
TAMOXIFEN	CC/C(/c1ccccc1)=C(\c1ccccc1)/c1ccc(cc1)OCCN(C)C	2733526.0		BBB-	
TENIPOSIDE	COc1cc(cc(c1O)OC)[C@H]1[C@@H]2[C@H](COC2=O)[C@H](O[C@@H]2O[C@@H]3CO[C@H](O[C@H]3[C@H](O)[C@H]2O)c2sccc2)c2cc3c(cc12)OCO3	452548.0		BBB-	
TERFENADINE	CC(C)(C)c1ccc(cc1)C(O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1	5405.0		BBB-	
TOPOTECAN	CC[C@@]1(O)C(=O)OCC2=C1C=C1N(Cc3cc4c(c(ccc4nc31)O)CN(C)C)C2=O	60700.0		BBB-	
VERAPAMIL	COc1ccc(cc1OC)CCN(C)CCCC(C#N)(C(C)C)c1ccc(c(c1)OC)OC	2520.0		BBB-	
VINBLASTINE	CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc43)C(C2)(C(=O)OC)c2cc3c(cc2OC)N(C)[C@H]2[C@](O)([C@H](OC(C)=O)[C@]4(CC)C=CCN5CCC23[C@@H]54)C(=O)OC)C1			BBB-	
VINCRISTINE	CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc43)[C@@](C2)(C(=O)OC)c2cc3c(cc2OC)N(C=O)[C@H]2[C@](O)([C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@@]23[C@@H]54)C(=O)OC)C1	5978.0		BBB-	
VINDESINE	CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc43)[C@@](C2)(C(=O)OC)c2cc3c(cc2OC)N(C)[C@H]2[C@](O)([C@H](O)[C@]4(CC)C=CCN5CC[C@@]23[C@@H]54)C(N)=O)C1	40839.0		BBB-	
ADRIAMYCINOL-AGLYCONE	COc1cccc2c1C(=O)c1c(c3c(c(c1C2=O)O)C[C@](O)(C[C@@H]3O)C(O)CO)O	10476988.0		BBB-	
DOCETAXEL	CC(=O)O[C@]12CO[C@@H]2C[C@H](O)[C@]2(C)C1[C@H](OC(=O)c1ccccc1)[C@]1(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c3ccccc3)C(=C([C@@H](O)C2=O)C1(C)C)C	9877265.0		BBB-	
