drugbank_id,chembl_id,name,groups,BBB_class,bbb_prob
DB00006,CHEMBL2103749,Bivalirudin,"['approved', 'investigational']",-,0.996
DB00007,CHEMBL1201199,Leuprolide,"['approved', 'investigational']",,
DB00014,CHEMBL1201247,Goserelin,['approved'],-,0.8816
DB00027,CHEMBL557217,Gramicidin D,['approved'],,
DB00035,CHEMBL1429,Desmopressin,['approved'],-,0.8866
DB00050,CHEMBL1200490,Cetrorelix,"['approved', 'investigational']",-,0.9647
DB00067,CHEMBL373742,Vasopressin,['approved'],,
DB00080,CHEMBL4744444,Daptomycin,"['approved', 'investigational']",,
DB00091,CHEMBL160,Cyclosporine,"['approved', 'investigational', 'vet_approved']",-,0.9659
DB00106,CHEMBL1252,Abarelix,"['approved', 'investigational', 'withdrawn']",,
DB00114,CHEMBL82202,Pyridoxal phosphate,"['approved', 'investigational', 'nutraceutical']",+,0.8022
DB00115,CHEMBL2110563,Cyanocobalamin,"['approved', 'nutraceutical']",-,0.7447
DB00116,CHEMBL2021342,Tetrahydrofolic acid,['nutraceutical'],-,0.533
DB00117,CHEMBL17962,Histidine,"['investigational', 'nutraceutical']",+,0.7546
DB00118,CHEMBL1088977,Ademetionine,"['approved', 'investigational', 'nutraceutical']",-,0.8894
DB00119,CHEMBL1162144,Pyruvic acid,"['approved', 'investigational', 'nutraceutical']",+,0.9401
DB00120,CHEMBL301523,Phenylalanine,"['approved', 'investigational', 'nutraceutical']",+,0.5902
DB00121,CHEMBL857,Biotin,"['approved', 'investigational', 'nutraceutical']",+,0.9383
DB00122,CHEMBL920,Choline,"['approved', 'nutraceutical']",+,0.9214
DB00123,CHEMBL8085,Lysine,"['approved', 'nutraceutical']",,
DB00125,CHEMBL1485,Arginine,"['investigational', 'nutraceutical']",+,0.6882
DB00126,CHEMBL196,Ascorbic acid,"['approved', 'nutraceutical']",+,0.8532
DB00127,CHEMBL23194,Spermine,"['experimental', 'nutraceutical']",+,0.6345
DB00128,CHEMBL274323,Aspartic acid,"['approved', 'nutraceutical']",-,0.6594
DB00129,CHEMBL446143,Ornithine,"['approved', 'nutraceutical']",+,0.7613
DB00130,CHEMBL930,L-Glutamine,"['approved', 'investigational', 'nutraceutical']",+,0.9604
DB00131,CHEMBL752,Adenosine phosphate,"['approved', 'investigational', 'nutraceutical', 'withdrawn']",+,0.9402
DB00132,CHEMBL8739,alpha-Linolenic acid,"['approved', 'investigational', 'nutraceutical']",+,0.9314
DB00133,CHEMBL11298,Serine,"['investigational', 'nutraceutical']",-,0.6529
DB00134,CHEMBL42336,Methionine,"['approved', 'nutraceutical']",+,0.8447
DB00135,CHEMBL925,Tyrosine,"['approved', 'investigational', 'nutraceutical']",,
DB00136,CHEMBL846,Calcitriol,"['approved', 'nutraceutical']",+,0.8524
DB00137,CHEMBL173929,Lutein,"['approved', 'investigational', 'nutraceutical']",+,0.6588
DB00138,CHEMBL590540,Cystine,"['approved', 'nutraceutical']",-,0.5098
DB00139,CHEMBL576,Succinic acid,"['approved', 'nutraceutical']",+,0.869
